TRM630/4;5.5;1440;195;815;1053;450;1260;439;185;750;455;497;535;12;507;361;587;441;374;320;191;3850;5400;7650;9500;12000;;170;160;142;115;75;;78;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-455-5.5-4;455
TRM710/4R;7.5;1440;216;880;1190;500;1416;500;202;850;505;551;585;12;569;404;669;504;826;320;285;5400;7650;9500;12000;17000;;192;182;171;148;75;;79;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-505-7.5-4;505
TRM710/4;11;1440;216;960;1190;500;1416;500;202;850;505;551;585;12;569;404;669;504;826;435;309;5400;7650;9500;12000;17000;;219;209;198;170;96;;81;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-505-11-4;505
TRM800/4R;15;1440;241;1010;1340;560;1591;560;226;950;565;629;665;12;638;453;738;553;926;435;400;7650;10800;13500;17000;24200;;250;236;220;191;95;;83;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-565-15-4;565
TRM800/4;18.5;1440;241;1050;1340;560;1591;560;226;950;565;629;665;12;638;453;738;553;926;480;430;7650;10800;13500;17000;24200;;285;270;254;220;125;;84;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-565-18.5-4;565
TRM800/6R;4;950;241;940;1340;560;1591;560;226;950;565;629;665;12;638;453;738;553;926;320;330;4750;6150;8500;10800;15300;;110;105;97;84;43;;73;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-565-4-6;565
TRM800/6;5.5;950;241;940;1340;560;1591;560;226;950;565;629;665;12;638;453;738;553;926;320;340;4750;6150;8500;10800;15300;;125;120;112;95;55;;74;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-565-5.5-6;565
TRM900/4R1;22;1440;275;1230;1500;630;1780;630;253;1060;635;698;735;12;715;507;815;607;1026;500;580;10800;13500;19000;24200;34200;;315;307;292;270;180;;84;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-635-22-4;635
TRM900/4R;30;1440;275;1260;1500;630;1780;630;253;1060;635;698;735;12;715;507;815;607;1026;550;620;10800;13500;19000;24200;34200;;334;326;310;275;181;;86;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-635-30-4;635
TRM900/4;37;1440;275;1260;1500;630;1780;630;253;1060;635;698;735;12;715;507;815;607;1026;550;650;10800;13500;19000;24200;34200;;381;372;351;315;228;;87;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-635-37-4;635
